Ticket,Summary,Priority,Assignee,State
INC0041821,Reset MFA for the two new Finance starters,High,Priya Raman,Resolved
INC0042117,Mercury laptop will not charge after dock swap,Medium,Dan Okafor,Closed
INC0042298,Shared mailbox not receiving external mail,High,Priya Raman,In Progress
REQ0009134,New starter kit for J. Alvarez,Low,Marco Silvani,Open
REQ0009201,Two monitors for the design pod,Low,Marco Silvani,Awaiting vendor
INC0042352,Print queue stuck on the third floor,Medium,Dan Okafor,Resolved
REQ0009244,Replace the failed badge reader at reception,High,Ada Berger,Open
INC0042401,VPN drops every hour for the Leeds team,High,Ada Berger,New
REQ0009302,Extra desk phone for the sales pod,Low,Marco Silvani,Open
INC0042477,Outlook profile corrupt after the mailbox move,Medium,Dan Okafor,New
