Item,Renewal Link,Expires,Owner,Status
Public liability insurance,https://portal.example.com/renewal/INS-2214,2026-11-30,F. Adeyemi,Renewed
Fire risk assessment,https://portal.example.com/renewal/FRA-0091,2026-10-14,R. Haddad,In progress
Gas safety certificate,https://portal.example.com/renewal/GAS-4471,2026-10-01,R. Haddad,Booked
Waste carrier licence,https://portal.example.com/renewal/WCL-1180,2026-12-31,M. Lindqvist,Renewed
Driving licence checks,https://portal.example.com/renewal/DLC-7712,2026-10-20,M. Lindqvist,Awaiting staff
LOLER inspection,https://portal.example.com/renewal/LOL-3308,2026-09-29,R. Haddad,Booked
Electrical installation cert,https://portal.example.com/renewal/EIC-2201,2026-11-05,R. Haddad,In progress
Health and safety policy review,https://portal.example.com/renewal/HSP-0064,2026-12-15,F. Adeyemi,Verified
Cyber insurance renewal,https://portal.example.com/renewal/CYB-9910,2026-10-07,F. Adeyemi,Awaiting broker
Company car tax renewal,https://portal.example.com/renewal/CCT-5520,2026-11-19,M. Lindqvist,Booked
