Name,URL,Status,Notes
Apple Newsroom,newsroom@example.com,incomplete,Q3 earnings page
BBC Homepage,press@bbc.example.com,complete,
Changelog Nightly,newsletter@changelog.com,incomplete,Skip the archive pages
"Comma, Inc. Blog",hello@example.com,complete,"Note with, commas, and ""quotes"""
Demo Domain,team@example.com,incomplete,
GitHub Trending,support@github.com,incomplete,Check weekly
Hacker News,tips@example.com,complete,Blocked in iframes — use ↗
Sheets Example,sheets@example.com,incomplete,
Turnstone Repo,spuds0588@users.noreply.github.com,incomplete,
Wikipedia Portal,social@example.com,incomplete,
